Country,Birth Rate,Business Tax Rate,log10_CO2 Emissions,Days to Start Business,Ease of Business,log10_Energy Usage,log10_GDP,Health Exp % GDP,log10_Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,log10_Population Total,Population Urban,log10_Tourism Inbound,log10_Tourism Outbound,ISO Code,cluster_label
France,0.013000000000000001,31.225139426609925,5.590897867313698,10.86917057461621,31.565606558287655,5.415944746766333,12.372752574637458,0.11236,3.6187832465065783,146.2548157063158,0.004,0.6240000000000001,0.04360984444234347,84.82666666666665,77.73333333333333,0.8466666666666666,7.806815474442254,0.7775333333333333,10.756117907106898,10.631160135517018,FRA,0
French Polynesia,0.017693333333333335,36.094520328959945,3.0036922845836767,21.85217413537491,77.60639666566952,2.8443103046246114,9.443669563145308,0.059024983946746816,2.978529456294418,170.1717220193288,0.009226970859243282,0.3386666666666667,0.09245347633154792,77.39999999999999,72.6,0.6373333333333332,5.417286824472458,0.56408,8.678901506417667,8.281673409124263,PYF,2
Gabon,0.0328,43.46830320633956,3.109424119880868,53.90996232219511,170.66350431632273,3.2667280739354028,10.060488915893853,0.033560000000000006,2.417078901587397,458.21622170539365,0.04658666666666667,0.07200000000000001,0.17351264513120426,62.333333333333336,60.21333333333334,0.9053333333333333,6.167001325345798,0.8451466666666666,8.125273365572772,8.403784023925255,GAB,1
Gambia,0.043680000000000004,43.850874405845694,2.5219293976203665,30.888609364580404,159.3919749326671,2.3758666532263004,8.893236847557748,0.04498666666666666,1.3533607292951497,355.53505103866644,0.054479999999999994,0.07200000000000001,0.28696,58.73333333333333,56.213333333333345,0.5533333333333333,6.192780918440456,0.5435466666666667,7.869015647156713,6.951259882841219,GMB,1
Georgia,0.013346666666666668,28.707148671766962,3.9175421304288554,10.597600474821357,120.02982640416425,3.565310890761984,9.96064561389782,0.09030666666666667,2.2668586669191018,358.12898734726826,0.01856,0.17200000000000001,0.17833333333333332,77.02666666666667,69.68,0.6106666666666667,6.644480365873763,0.5270533333333334,8.688331998336784,8.459797399556482,GEO,3
Germany,0.0082,45.89958416262461,5.811897895273712,23.61681697522632,90.30908220305705,5.514300192175264,12.487873749623079,0.11029333333333333,3.6149059587750076,205.83719801231945,0.0037600000000000003,0.7279999999999999,0.06823962346800849,82.32,77.05333333333333,1.0626666666666666,7.913536324446108,0.7390399999999999,10.648055507886363,10.948271685282679,DEU,0
Ghana,0.03290666666666667,34.307855086080004,3.8978902262123603,15.397742101915245,126.2162298516775,3.9629001271187865,10.32153985153602,0.05512000000000001,1.6978754330812613,245.286316124602,0.05658666666666667,0.045333333333333344,0.2338803685133196,60.70666666666667,58.74666666666666,0.47200000000000003,7.358279890614156,0.49088000000000004,8.88870234450796,8.798523746532226,GHA,1
Greece,0.010013333333333334,46.55113400389983,4.893909858661357,25.963926697701766,109.93965483612801,4.456951552623233,11.415756513057735,0.09433333333333332,3.3423221873700415,242.22025295092934,0.0045066666666666675,0.364,0.062020555006425115,82.53333333333333,77.45333333333333,1.0413333333333332,7.045870075346177,0.7540133333333334,10.136761125895676,9.486381758263969,GRC,0
Greenland,0.015213333333333332,44.27847854997462,2.7807824519022484,24.70062523794569,83.60526017919861,1.83217150979876,9.240704076480784,0.06173348931777085,3.3666445912967133,116.4884972625591,0.0033918172366858043,0.5773333333333334,0.09115717298690387,72.36018972375787,67.59398423328358,0.8853333333333334,4.753518142623817,0.8372533333333333,8.795745348141121,8.10567025452981,GRL,2
Grenada,0.019000000000000003,43.77493892145616,2.3780792045879218,18.410312250012264,110.47152294922702,1.8687340993141355,8.85931951062766,0.06250666666666665,2.6368453739465196,140.8762750179815,0.012133333333333333,0.22533333333333333,0.10352000000000001,74.32,69.46666666666667,0.7626666666666666,5.016510815385769,0.35792,8.02193540588325,7.023272279836675,GRD,2
